Date,VisitorNeutral,HomeNeutral,deltaOEFF,deltaDEFF,Y
2019,Brooklyn,Philadelphia,3,0.200000000000003,FALSE
2019,Orlando,Toronto,4.3,-1,FALSE
2019,LA Clippers,Golden State,3.59999999999999,-2,TRUE
2019,San Antonio,Denver,0.0999999999999943,-2.3,FALSE
2019,Indiana,Boston,2.39999999999999,1.3,TRUE
2019,Oklahoma City,Portland,4.3,3.40000000000001,TRUE
2019,Detroit,Milwaukee,4.7,-4,TRUE
2019,Utah,Houston,4.69999999999999,5,TRUE
2019,Brooklyn,Philadelphia,3,0.200000000000003,TRUE
2019,LA Clippers,Golden State,3.59999999999999,-2,FALSE
2019,Orlando,Toronto,4.3,-1,TRUE
2019,San Antonio,Denver,0.0999999999999943,-2.3,TRUE
2019,Oklahoma City,Portland,4.3,3.40000000000001,TRUE
2019,Indiana,Boston,2.39999999999999,1.3,TRUE
2019,Detroit,Milwaukee,4.7,-4,TRUE
2019,Utah,Houston,4.69999999999999,5,TRUE
2019,Philadelphia,Brooklyn,-3,-0.200000000000003,FALSE
2019,Denver,San Antonio,-0.0999999999999943,2.3,TRUE
2019,Golden State,LA Clippers,-3.59999999999999,2,FALSE
2019,Toronto,Orlando,-4.3,1,FALSE
2019,Boston,Indiana,-2.39999999999999,-1.3,FALSE
2019,Portland,Oklahoma City,-4.3,-3.40000000000001,TRUE
2019,Philadelphia,Brooklyn,-3,-0.200000000000003,FALSE
2019,Denver,San Antonio,-0.0999999999999943,2.3,FALSE
2019,Milwaukee,Detroit,-4.7,4,FALSE
2019,Houston,Utah,-4.69999999999999,-5,FALSE
2019,Boston,Indiana,-2.39999999999999,-1.3,FALSE
2019,Golden State,LA Clippers,-3.59999999999999,2,FALSE
2019,Toronto,Orlando,-4.3,1,FALSE
2019,Portland,Oklahoma City,-4.3,-3.40000000000001,FALSE
2019,Milwaukee,Detroit,-4.7,4,FALSE
2019,Houston,Utah,-4.69999999999999,-5,TRUE
2019,Orlando,Toronto,4.3,-1,TRUE
2019,Brooklyn,Philadelphia,3,0.200000000000003,TRUE
2019,San Antonio,Denver,0.0999999999999943,-2.3,TRUE
2019,Oklahoma City,Portland,4.3,3.40000000000001,TRUE
2019,Utah,Houston,4.69999999999999,5,TRUE
2019,LA Clippers,Golden State,3.59999999999999,-2,FALSE
2019,Denver,San Antonio,-0.0999999999999943,2.3,TRUE
2019,Golden State,LA Clippers,-3.59999999999999,2,FALSE
2019,Philadelphia,Toronto,0.600000000000009,-2.7,TRUE
2019,San Antonio,Denver,0.0999999999999943,-2.3,TRUE
2019,Boston,Milwaukee,1.40000000000001,-2.59999999999999,FALSE
2019,Houston,Golden State,0.400000000000006,-1.10000000000001,TRUE
2019,Philadelphia,Toronto,0.600000000000009,-2.7,FALSE
2019,Portland,Denver,-1.59999999999999,-1.59999999999999,TRUE
2019,Boston,Milwaukee,1.40000000000001,-2.59999999999999,TRUE
2019,Houston,Golden State,0.400000000000006,-1.10000000000001,TRUE
2019,Portland,Denver,-1.59999999999999,-1.59999999999999,FALSE
2019,Toronto,Philadelphia,-0.600000000000009,2.7,TRUE
2019,Milwaukee,Boston,-1.40000000000001,2.59999999999999,FALSE
2019,Denver,Portland,1.59999999999999,1.59999999999999,TRUE
2019,Golden State,Houston,-0.400000000000006,1.10000000000001,TRUE
2019,Toronto,Philadelphia,-0.600000000000009,2.7,FALSE
2019,Denver,Portland,1.59999999999999,1.59999999999999,FALSE
2019,Milwaukee,Boston,-1.40000000000001,2.59999999999999,FALSE
2019,Golden State,Houston,-0.400000000000006,1.10000000000001,TRUE
2019,Philadelphia,Toronto,0.600000000000009,-2.7,TRUE
2019,Portland,Denver,-1.59999999999999,-1.59999999999999,TRUE
2019,Boston,Milwaukee,1.40000000000001,-2.59999999999999,TRUE
2019,Houston,Golden State,0.400000000000006,-1.10000000000001,TRUE
2019,Toronto,Philadelphia,-0.600000000000009,2.7,TRUE
2019,Denver,Portland,1.59999999999999,1.59999999999999,TRUE
2019,Golden State,Houston,-0.400000000000006,1.10000000000001,FALSE
2019,Portland,Denver,-1.59999999999999,-1.59999999999999,FALSE
2019,Philadelphia,Toronto,0.600000000000009,-2.7,TRUE
2019,Portland,Golden State,1.40000000000001,-0.900000000000006,TRUE
2019,Toronto,Milwaukee,0.5,-2,TRUE
2019,Portland,Golden State,1.40000000000001,-0.900000000000006,TRUE
2019,Toronto,Milwaukee,0.5,-2,TRUE
2019,Golden State,Portland,-1.40000000000001,0.900000000000006,FALSE
2019,Milwaukee,Toronto,-0.5,2,TRUE
2019,Golden State,Portland,-1.40000000000001,0.900000000000006,FALSE
2019,Milwaukee,Toronto,-0.5,2,TRUE
2019,Toronto,Milwaukee,0.5,-2,FALSE
2019,Milwaukee,Toronto,-0.5,2,TRUE
2019,Golden State,Toronto,-2.8,-2.39999999999999,TRUE
2019,Golden State,Toronto,-2.8,-2.39999999999999,FALSE
2019,Toronto,Golden State,2.8,2.39999999999999,FALSE
2019,Toronto,Golden State,2.8,2.39999999999999,FALSE
2019,Golden State,Toronto,-2.8,-2.39999999999999,FALSE
2019,Toronto,Golden State,2.8,2.39999999999999,FALSE
